Performance Date,Return,Status,Fund Long Name
2008-07-31,-0.0038713929,Final,HFRI ED: Merger Arbitrage Index
2008-06-30,-0.0142627037,Final,HFRI ED: Merger Arbitrage Index
2008-05-31,0.0093116667,Final,HFRI ED: Merger Arbitrage Index
2008-04-30,0.0139606667,Final,HFRI ED: Merger Arbitrage Index
2008-03-31,-0.0085816429,Final,HFRI ED: Merger Arbitrage Index
2008-02-29,0.0088337037,Final,HFRI ED: Merger Arbitrage Index
2008-01-31,-0.0178108519,Final,HFRI ED: Merger Arbitrage Index
2007-12-31,-0.0027580476,Final,HFRI ED: Merger Arbitrage Index
2007-11-30,-0.0145549048,Final,HFRI ED: Merger Arbitrage Index
2007-10-31,0.0189365238,Final,HFRI ED: Merger Arbitrage Index
2007-09-30,0.00983125,Final,HFRI ED: Merger Arbitrage Index
2007-08-31,0.0036686667,Final,HFRI ED: Merger Arbitrage Index
2007-07-31,-0.0076492857,Final,HFRI ED: Merger Arbitrage Index
2007-06-30,-0.0029174286,Final,HFRI ED: Merger Arbitrage Index
2007-05-31,0.0186547619,Final,HFRI ED: Merger Arbitrage Index
2007-04-30,0.012681619,Final,HFRI ED: Merger Arbitrage Index
2007-03-31,0.0033441,Final,HFRI ED: Merger Arbitrage Index
2007-02-28,0.0112029524,Final,HFRI ED: Merger Arbitrage Index
2007-01-31,0.0185944,Final,HFRI ED: Merger Arbitrage Index
2006-12-31,0.01467,Final,HFRI ED: Merger Arbitrage Index
2006-11-30,0.00917,Final,HFRI ED: Merger Arbitrage Index
2006-10-31,0.01491,Final,HFRI ED: Merger Arbitrage Index
2006-09-30,-0.00303,Final,HFRI ED: Merger Arbitrage Index
2006-08-31,0.00681,Final,HFRI ED: Merger Arbitrage Index
2006-07-31,0.00764,Final,HFRI ED: Merger Arbitrage Index
2006-06-30,0.00822,Final,HFRI ED: Merger Arbitrage Index
2006-05-31,-0.00067,Final,HFRI ED: Merger Arbitrage Index
2006-04-30,0.01408,Final,HFRI ED: Merger Arbitrage Index
2006-03-31,0.01972,Final,HFRI ED: Merger Arbitrage Index
2006-02-28,0.0116,Final,HFRI ED: Merger Arbitrage Index
2006-01-31,0.03116,Final,HFRI ED: Merger Arbitrage Index
2005-12-31,0.01817,Final,HFRI ED: Merger Arbitrage Index
2005-11-30,0.0129,Final,HFRI ED: Merger Arbitrage Index
2005-10-31,-0.0157,Final,HFRI ED: Merger Arbitrage Index
2005-09-30,0.0063,Final,HFRI ED: Merger Arbitrage Index
2005-08-31,0.00709,Final,HFRI ED: Merger Arbitrage Index
2005-07-31,0.01117,Final,HFRI ED: Merger Arbitrage Index
2005-06-30,0.0114,Final,HFRI ED: Merger Arbitrage Index
2005-05-31,0.01623,Final,HFRI ED: Merger Arbitrage Index
2005-04-30,-0.01421,Final,HFRI ED: Merger Arbitrage Index
2005-03-31,0.00122,Final,HFRI ED: Merger Arbitrage Index
2005-02-28,0.00715,Final,HFRI ED: Merger Arbitrage Index
2005-01-31,-0.0003,Final,HFRI ED: Merger Arbitrage Index
2004-12-31,0.01096,Final,HFRI ED: Merger Arbitrage Index
2004-11-30,0.0162,Final,HFRI ED: Merger Arbitrage Index
2004-10-31,0.00536,Final,HFRI ED: Merger Arbitrage Index
2004-09-30,0.00587,Final,HFRI ED: Merger Arbitrage Index
2004-08-31,0.00197,Final,HFRI ED: Merger Arbitrage Index
2004-07-31,-0.01017,Final,HFRI ED: Merger Arbitrage Index
2004-06-30,0.0032,Final,HFRI ED: Merger Arbitrage Index
2004-05-31,-0.0014,Final,HFRI ED: Merger Arbitrage Index
2004-04-30,-0.00847,Final,HFRI ED: Merger Arbitrage Index
2004-03-31,0.00069,Final,HFRI ED: Merger Arbitrage Index
2004-02-29,0.00594,Final,HFRI ED: Merger Arbitrage Index
2004-01-31,0.01023,Final,HFRI ED: Merger Arbitrage Index
2003-12-31,0.00693,Final,HFRI ED: Merger Arbitrage Index
2003-11-30,0.0029,Final,HFRI ED: Merger Arbitrage Index
2003-10-31,0.00716,Final,HFRI ED: Merger Arbitrage Index
2003-09-30,0.00628,Final,HFRI ED: Merger Arbitrage Index
2003-08-31,0.0069,Final,HFRI ED: Merger Arbitrage Index
2003-07-31,0.00714,Final,HFRI ED: Merger Arbitrage Index
2003-06-30,0.00428,Final,HFRI ED: Merger Arbitrage Index
2003-05-31,0.01759,Final,HFRI ED: Merger Arbitrage Index
2003-04-30,0.01288,Final,HFRI ED: Merger Arbitrage Index
2003-03-31,-0.00102,Final,HFRI ED: Merger Arbitrage Index
2003-02-28,-0.00011,Final,HFRI ED: Merger Arbitrage Index
2003-01-31,0.00148,Final,HFRI ED: Merger Arbitrage Index
2002-12-31,0.00516,Final,HFRI ED: Merger Arbitrage Index
2002-11-30,0.0059166724,Final,HFRI ED: Merger Arbitrage Index
2002-10-31,0.0036323667,Final,HFRI ED: Merger Arbitrage Index
2002-09-30,-0.0043826167,Final,HFRI ED: Merger Arbitrage Index
2002-08-31,0.0049964833,Final,HFRI ED: Merger Arbitrage Index
2002-07-31,-0.0189974262,Final,HFRI ED: Merger Arbitrage Index
2002-06-30,-0.0123098548,Final,HFRI ED: Merger Arbitrage Index
2002-05-31,-0.0024966129,Final,HFRI ED: Merger Arbitrage Index
2002-04-30,-0.000441129,Final,HFRI ED: Merger Arbitrage Index
2002-03-31,0.0055640968,Final,HFRI ED: Merger Arbitrage Index
2002-02-28,-0.0035924355,Final,HFRI ED: Merger Arbitrage Index
2002-01-31,0.008619,Final,HFRI ED: Merger Arbitrage Index
2001-12-31,0.0078,Final,HFRI ED: Merger Arbitrage Index
2001-11-30,0.0023,Final,HFRI ED: Merger Arbitrage Index
2001-10-31,0.0084,Final,HFRI ED: Merger Arbitrage Index
2001-09-30,-0.0272,Final,HFRI ED: Merger Arbitrage Index
2001-08-31,0.0087,Final,HFRI ED: Merger Arbitrage Index
2001-07-31,0.0093,Final,HFRI ED: Merger Arbitrage Index
2001-06-30,-0.0084,Final,HFRI ED: Merger Arbitrage Index
2001-05-31,0.0169,Final,HFRI ED: Merger Arbitrage Index
2001-04-30,0.0023,Final,HFRI ED: Merger Arbitrage Index
2001-03-31,-0.0075,Final,HFRI ED: Merger Arbitrage Index
2001-02-28,0.0044,Final,HFRI ED: Merger Arbitrage Index
2001-01-31,0.011,Final,HFRI ED: Merger Arbitrage Index
2000-12-31,0.0116,Final,HFRI ED: Merger Arbitrage Index
2000-11-30,0.012,Final,HFRI ED: Merger Arbitrage Index
2000-10-31,0.0048,Final,HFRI ED: Merger Arbitrage Index
2000-09-30,0.0144,Final,HFRI ED: Merger Arbitrage Index
2000-08-31,0.0134,Final,HFRI ED: Merger Arbitrage Index
2000-07-31,0.0119,Final,HFRI ED: Merger Arbitrage Index
2000-06-30,0.0158,Final,HFRI ED: Merger Arbitrage Index
2000-05-31,0.0151,Final,HFRI ED: Merger Arbitrage Index
2000-04-30,0.0247,Final,HFRI ED: Merger Arbitrage Index
2000-03-31,0.0082,Final,HFRI ED: Merger Arbitrage Index
2000-02-29,0.0188,Final,HFRI ED: Merger Arbitrage Index
2000-01-31,0.0163,Final,HFRI ED: Merger Arbitrage Index
1999-12-31,0.0046,Final,HFRI ED: Merger Arbitrage Index
1999-11-30,0.0223,Final,HFRI ED: Merger Arbitrage Index
1999-10-31,0.0069,Final,HFRI ED: Merger Arbitrage Index
1999-09-30,0.0125,Final,HFRI ED: Merger Arbitrage Index
1999-08-31,0.0052,Final,HFRI ED: Merger Arbitrage Index
1999-07-31,0.0138,Final,HFRI ED: Merger Arbitrage Index
1999-06-30,0.0161,Final,HFRI ED: Merger Arbitrage Index
1999-05-31,0.0204,Final,HFRI ED: Merger Arbitrage Index
1999-04-30,0.0131,Final,HFRI ED: Merger Arbitrage Index
1999-03-31,0.0105,Final,HFRI ED: Merger Arbitrage Index
1999-02-28,0.0025,Final,HFRI ED: Merger Arbitrage Index
1999-01-31,0.0071,Final,HFRI ED: Merger Arbitrage Index
1998-12-31,0.0194,Final,HFRI ED: Merger Arbitrage Index
1998-11-30,0.0233,Final,HFRI ED: Merger Arbitrage Index
1998-10-31,0.0214,Final,HFRI ED: Merger Arbitrage Index
1998-09-30,0.0174,Final,HFRI ED: Merger Arbitrage Index
1998-08-31,-0.0569,Final,HFRI ED: Merger Arbitrage Index
1998-07-31,-0.0057,Final,HFRI ED: Merger Arbitrage Index
1998-06-30,0.005,Final,HFRI ED: Merger Arbitrage Index
1998-05-31,-0.006,Final,HFRI ED: Merger Arbitrage Index
1998-04-30,0.0159,Final,HFRI ED: Merger Arbitrage Index
1998-03-31,0.0105,Final,HFRI ED: Merger Arbitrage Index
1998-02-28,0.0189,Final,HFRI ED: Merger Arbitrage Index
1998-01-31,0.0096,Final,HFRI ED: Merger Arbitrage Index
1997-12-31,0.019,Final,HFRI ED: Merger Arbitrage Index
1997-11-30,0.0202,Final,HFRI ED: Merger Arbitrage Index
1997-10-31,0.0084,Final,HFRI ED: Merger Arbitrage Index
1997-09-30,0.0213,Final,HFRI ED: Merger Arbitrage Index
1997-08-31,0.0104,Final,HFRI ED: Merger Arbitrage Index
1997-07-31,0.016,Final,HFRI ED: Merger Arbitrage Index
1997-06-30,0.0213,Final,HFRI ED: Merger Arbitrage Index
1997-05-31,0.0192,Final,HFRI ED: Merger Arbitrage Index
1997-04-30,-0.007,Final,HFRI ED: Merger Arbitrage Index
1997-03-31,0.0105,Final,HFRI ED: Merger Arbitrage Index
1997-02-28,0.0039,Final,HFRI ED: Merger Arbitrage Index
1997-01-31,0.0104,Final,HFRI ED: Merger Arbitrage Index
1996-12-31,0.0137,Final,HFRI ED: Merger Arbitrage Index
1996-11-30,0.0138,Final,HFRI ED: Merger Arbitrage Index
1996-10-31,0.0123,Final,HFRI ED: Merger Arbitrage Index
1996-09-30,0.0081,Final,HFRI ED: Merger Arbitrage Index
1996-08-31,0.0164,Final,HFRI ED: Merger Arbitrage Index
1996-07-31,0.0081,Final,HFRI ED: Merger Arbitrage Index
1996-06-30,0.0078,Final,HFRI ED: Merger Arbitrage Index
1996-05-31,0.0146,Final,HFRI ED: Merger Arbitrage Index
1996-04-30,0.0162,Final,HFRI ED: Merger Arbitrage Index
1996-03-31,0.0151,Final,HFRI ED: Merger Arbitrage Index
1996-02-29,0.0129,Final,HFRI ED: Merger Arbitrage Index
1996-01-31,0.0157,Final,HFRI ED: Merger Arbitrage Index
1995-12-31,0.0131,Final,HFRI ED: Merger Arbitrage Index
1995-11-30,0.0213,Final,HFRI ED: Merger Arbitrage Index
1995-10-31,0.0091,Final,HFRI ED: Merger Arbitrage Index
1995-09-30,0.0163,Final,HFRI ED: Merger Arbitrage Index
1995-08-31,0.0135,Final,HFRI ED: Merger Arbitrage Index
1995-07-31,0.0135,Final,HFRI ED: Merger Arbitrage Index
1995-06-30,0.0247,Final,HFRI ED: Merger Arbitrage Index
1995-05-31,0.0126,Final,HFRI ED: Merger Arbitrage Index
1995-04-30,0.0035,Final,HFRI ED: Merger Arbitrage Index
1995-03-31,0.0149,Final,HFRI ED: Merger Arbitrage Index
1995-02-28,0.0145,Final,HFRI ED: Merger Arbitrage Index
1995-01-31,0.0086,Final,HFRI ED: Merger Arbitrage Index
1994-12-31,0.0148,Final,HFRI ED: Merger Arbitrage Index
1994-11-30,-0.0022,Final,HFRI ED: Merger Arbitrage Index
1994-10-31,-0.0026,Final,HFRI ED: Merger Arbitrage Index
1994-09-30,0.0059,Final,HFRI ED: Merger Arbitrage Index
1994-08-31,0.0199,Final,HFRI ED: Merger Arbitrage Index
1994-07-31,0.0068,Final,HFRI ED: Merger Arbitrage Index
1994-06-30,0.0089,Final,HFRI ED: Merger Arbitrage Index
1994-05-31,0.0122,Final,HFRI ED: Merger Arbitrage Index
1994-04-30,-0.0025,Final,HFRI ED: Merger Arbitrage Index
1994-03-31,0.0137,Final,HFRI ED: Merger Arbitrage Index
1994-02-28,-0.0041,Final,HFRI ED: Merger Arbitrage Index
1994-01-31,0.015,Final,HFRI ED: Merger Arbitrage Index
1993-12-31,0.0165,Final,HFRI ED: Merger Arbitrage Index
1993-11-30,0.0086,Final,HFRI ED: Merger Arbitrage Index
1993-10-31,0.0205,Final,HFRI ED: Merger Arbitrage Index
1993-09-30,0.0185,Final,HFRI ED: Merger Arbitrage Index
1993-08-31,0.0167,Final,HFRI ED: Merger Arbitrage Index
1993-07-31,0.0154,Final,HFRI ED: Merger Arbitrage Index
1993-06-30,0.0225,Final,HFRI ED: Merger Arbitrage Index
1993-05-31,0.0117,Final,HFRI ED: Merger Arbitrage Index
1993-04-30,0.013,Final,HFRI ED: Merger Arbitrage Index
1993-03-31,0.0049,Final,HFRI ED: Merger Arbitrage Index
1993-02-28,0.0164,Final,HFRI ED: Merger Arbitrage Index
1993-01-31,0.0212,Final,HFRI ED: Merger Arbitrage Index
1992-12-31,0.0191,Final,HFRI ED: Merger Arbitrage Index
1992-11-30,-0.0222,Final,HFRI ED: Merger Arbitrage Index
1992-10-31,0.004,Final,HFRI ED: Merger Arbitrage Index
1992-09-30,0.0134,Final,HFRI ED: Merger Arbitrage Index
1992-08-31,0.0012,Final,HFRI ED: Merger Arbitrage Index
1992-07-31,0.0145,Final,HFRI ED: Merger Arbitrage Index
1992-06-30,0.003,Final,HFRI ED: Merger Arbitrage Index
1992-05-31,0.0,Final,HFRI ED: Merger Arbitrage Index
1992-04-30,0.0014,Final,HFRI ED: Merger Arbitrage Index
1992-03-31,0.0134,Final,HFRI ED: Merger Arbitrage Index
1992-02-29,0.0096,Final,HFRI ED: Merger Arbitrage Index
1992-01-31,0.0196,Final,HFRI ED: Merger Arbitrage Index
1991-12-31,0.012,Final,HFRI ED: Merger Arbitrage Index
1991-11-30,0.0138,Final,HFRI ED: Merger Arbitrage Index
1991-10-31,0.0141,Final,HFRI ED: Merger Arbitrage Index
1991-09-30,0.011,Final,HFRI ED: Merger Arbitrage Index
1991-08-31,0.0064,Final,HFRI ED: Merger Arbitrage Index
1991-07-31,0.0144,Final,HFRI ED: Merger Arbitrage Index
1991-06-30,0.0112,Final,HFRI ED: Merger Arbitrage Index
1991-05-31,0.0155,Final,HFRI ED: Merger Arbitrage Index
1991-04-30,0.0283,Final,HFRI ED: Merger Arbitrage Index
1991-03-31,0.023,Final,HFRI ED: Merger Arbitrage Index
1991-02-28,0.0159,Final,HFRI ED: Merger Arbitrage Index
1991-01-31,0.0001,Final,HFRI ED: Merger Arbitrage Index
1990-12-31,0.0121,Final,HFRI ED: Merger Arbitrage Index
1990-11-30,0.0219,Final,HFRI ED: Merger Arbitrage Index
1990-10-31,0.0073,Final,HFRI ED: Merger Arbitrage Index
1990-09-30,-0.0458,Final,HFRI ED: Merger Arbitrage Index
1990-08-31,-0.0082,Final,HFRI ED: Merger Arbitrage Index
1990-07-31,0.0002,Final,HFRI ED: Merger Arbitrage Index
1990-06-30,0.0073,Final,HFRI ED: Merger Arbitrage Index
1990-05-31,0.0228,Final,HFRI ED: Merger Arbitrage Index
1990-04-30,0.0098,Final,HFRI ED: Merger Arbitrage Index
1990-03-31,0.029,Final,HFRI ED: Merger Arbitrage Index
1990-02-28,0.0171,Final,HFRI ED: Merger Arbitrage Index
1990-01-31,-0.0646,Final,HFRI ED: Merger Arbitrage Index
